sr_no,emis_code,school_name,project,cluster,tehsil,district,students,lat,lon,coords_raw
41,34140365,GMPS Ram Garh,PSSP,C-4,Noshera Virkan,Gujranwala,200,32.100833,73.861639,"32°06'03.0""N 73°51'41.9""E"
42,34110489,GPS No.3 Nai Abadi Ladhay Wala,PSSP,C-4,Gujranwala,Gujranwala,739,32.153889,74.125139,"32°09'14.0""N 74°07'30.5""E"
43,34110441,GMPS Ball,PSSP,C-4,Gujranwala,Gujranwala,135,32.157111,74.030000,"32°09'25.6""N 74°01'48.0""E"
44,34110270,GPS No.2 Qila Didar Singh,PSSP,C-4,Gujranwala,Gujranwala,345,32.129500,74.014722,"32°07'46.2""N 74°00'53.0""E"
45,34110300,GPS Dhendh Say,PSSP,C-4,Gujranwala,Gujranwala,135,32.214750,74.037083,"32°12'53.1""N 74°02'13.5""E"
46,34110432,GMPS Hardo Burrhi,PSSP,C-4,Gujranwala,Gujranwala,200,32.149528,74.000028,"32°08'58.3""N 74°00'00.1""E"
47,34110437,GMPS Jhugian,PSSP,C-4,Gujranwala,Gujranwala,220,32.294611,74.151278,"32°17'40.6""N 74°09'04.6""E"
48,34110440,GMPS Kalu Wali,PSSP,C-4,Gujranwala,Gujranwala,200,32.161694,74.042056,"32°09'42.1""N 74°02'31.4""E"
49,34140216,GPS Bhiri Shah Rehman,PSRP,C-4,Noshera Virkan,Gujranwala,149,32.125139,73.819139,"32°07'30.5""N 73°49'08.9""E"
50,34110433,GGPS Heigher,PSRP,C-4,Gujranwala,Gujranwala,130,32.160833,74.007222,"32°09'39.0""N 74°00'26.0""E"
